"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\src\views\Presentation.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 9, 6, 77
"d:\programming\Project_1\Front-end\src\views\Sections.js", "JavaScript", 0, 213, 0, 0, 0, 0, 0, 6, 7, 226
"d:\programming\Project_1\Front-end\src\views\examples\AboutUs.js", "JavaScript", 0, 285, 0, 0, 0, 0, 0, 2, 5, 292
"d:\programming\Project_1\Front-end\src\views\examples\AddProduct.js", "JavaScript", 0, 222, 0, 0, 0, 0, 0, 3, 7, 232
"d:\programming\Project_1\Front-end\src\views\examples\BlogPost.js", "JavaScript", 0, 428, 0, 0, 0, 0, 0, 2, 5, 435
"d:\programming\Project_1\Front-end\src\views\examples\BlogPosts.js", "JavaScript", 0, 202, 0, 0, 0, 0, 0, 2, 5, 209
"d:\programming\Project_1\Front-end\src\views\examples\ContactUs.js", "JavaScript", 0, 303, 0, 0, 0, 0, 0, 3, 5, 311
"d:\programming\Project_1\Front-end\src\views\examples\Discover.js", "JavaScript", 0, 333, 0, 0, 0, 0, 0, 2, 6, 341
"d:\programming\Project_1\Front-end\src\views\examples\Ecommerce.js", "JavaScript", 0, 760, 0, 0, 0, 0, 0, 4, 5, 769
"d:\programming\Project_1\Front-end\src\views\examples\Error404.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 2, 5, 112
"d:\programming\Project_1\Front-end\src\views\examples\Error422.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 2, 5, 111
"d:\programming\Project_1\Front-end\src\views\examples\Error500.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 2, 5, 86
"d:\programming\Project_1\Front-end\src\views\examples\LandingPage.js", "JavaScript", 0, 349, 0, 0, 0, 0, 0, 2, 5, 356
"d:\programming\Project_1\Front-end\src\views\examples\LoginPage.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 2, 5, 91
"d:\programming\Project_1\Front-end\src\views\examples\ProductPage.js", "JavaScript", 0, 531, 0, 0, 0, 0, 0, 7, 7, 545
"d:\programming\Project_1\Front-end\src\views\examples\ProfilePage.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 2, 7, 191
"d:\programming\Project_1\Front-end\src\views\examples\RegisterPage.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 28, 11, 146
"d:\programming\Project_1\Front-end\src\views\examples\SearchWithSidebar.js", "JavaScript", 0, 204, 0, 0, 0, 0, 0, 2, 5, 211
"d:\programming\Project_1\Front-end\src\views\examples\Settings.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 3, 4, 164
"d:\programming\Project_1\Front-end\src\views\examples\TwitterRedesign.js", "JavaScript", 0, 1059, 0, 0, 0, 0, 0, 3, 7, 1069
"d:\programming\Project_1\Front-end\src\views\index-sections\SectionButtons.js", "JavaScript", 0, 1373, 0, 0, 0, 0, 0, 5, 8, 1386
"d:\programming\Project_1\Front-end\src\views\index-sections\SectionCards.js", "JavaScript", 0, 1094, 0, 0, 0, 0, 0, 2, 5, 1101
"d:\programming\Project_1\Front-end\src\views\index-sections\SectionComments.js", "JavaScript", 0, 530, 0, 0, 0, 0, 0, 2, 5, 537
"d:\programming\Project_1\Front-end\src\views\index-sections\SectionCommentsAreaSmall.js", "JavaScript", 0, 428, 0, 0, 0, 0, 0, 2, 5, 435
"d:\programming\Project_1\Front-end\src\views\index-sections\SectionDescriptionAreas.js", "JavaScript", 0, 604, 0, 0, 0, 0, 0, 2, 5, 611
